;Terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;;
Non terminal;dycha;przecinek;tekst;nic;funkcja;id;const ;( ;);,;:;";";{;};przestan;dalej ;zwroc;wywolaj;dopoki;dla;jesli;=;inaczej;"""==""";!=;>;<;>=;<=;&;|;+;- ;*;/;$;;dycha
START;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;przecinek
Function;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;tekst
VarDecl;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nic
DataType;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;funkcja
FunctionDeclaration;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;id
ParamList;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;const 
ParamDecls;8;8;8;8;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;( 
ParamDeclsNew;;;;;;;;;11;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;)
FuncType;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;,
Body;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;:
Statements;14;14;14;14;14;14;;;;;;;;15;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;";"
Statement;19;19;19;19;;20;;;;;;;;21;16;17;18;22;23;24;25;;;;;;;;;;;;;;;;;{
VarInit;;;;;;;;;;;;27;;;;;;;;;;26;;;;;;;;;;;;;;;;}
ForRange;;;;;;28;28;28;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;przestan
ForRangeNew;;;;;;;;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;dalej 
ArgList;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zwroc
FuncArgs;;;;;;32;32;32;33;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;wywolaj
FuncArgsNew;;;;;;;;;35;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;dopoki
ElseClause;;;;;;;;;;;;;;37;;;;;;;;;36;;;;;;;;;;;;;;;dla
Else;;;;;;;;;;;;;39;;;;;;;;38;;;;;;;;;;;;;;;;;jesli
Condition;;;;;;40;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;=
ConditionNew;;;;;;;;;;;42;;;;;;;;;;;;;41;41;41;41;41;41;41;41;;;;;;;inaczej
LogOp;;;;;;;;;;;;;;;;;;;;;;;;43;44;45;46;47;48;49;50;;;;;;;"""=="""
AddOp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;52;;;;;!=
MulOp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;54;;;>
Expression;;;;;;55;55;55;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;<
ExpressionNew;;;;;;;;;57;57;57;57;;;;;;;;;;;;57;57;57;57;57;57;57;57;56;56;;;;;>=
Term;;;;;;58;58;58;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;<=
TermNew;;;;;;;;;60;60;60;60;;;;;;;;;;;;60;60;60;60;60;60;60;60;60;60;59;59;;;&
Factor;;;;;;61;62;63;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;;|
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;*
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/
