;Terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non terminal;dycha;przecinek;tekst;nic;funkcja;id;const ;( ;);,;:;";";{;};przestan;dalej ;zwroc;wywolaj;dopoki;dla;jesli;=;inaczej;"""==""";!=;>;<;>=;<=;&;|;+;- ;*;/
VarDecl;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FunctionDeclaration;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ParamList;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
ParamDecls;8;8;8;8;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
ParamDeclsNew;;;;;;;;;11;10;;;;;;;;;;;;;;;;;;;;;;;;;
FuncType;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
Body;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;
Statements;14;14;14;14;14;14;;;;;;;;15;14;14;14;14;14;14;14;;;;;;;;;;;;;;
Statement;19;19;19;19;;20;;;;;;;;21;16;17;18;22;23;24;25;;;;;;;;;;;;;;
VarInit;;;;;;;;;;;;27;;;;;;;;;;26;;;;;;;;;;;;;
ForRange;;;;;;28;28;28;;;;;;;;;;28;;;;;;;;;;;;;;;;;
ForRangeNew;;;;;;;;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;
ArgList;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;
FuncArgs;;;;;;32;32;32;33;;;;;;;;;32;;;;;;;;;;;;;;;;;
FuncArgsNew;;;;;;;;;35;34;;;;;;;;;;;;;;;;;;;;;;;;;
ElseClause;;;;;;;;;;;;;;37;;;;;;;;;36;;;;;;;;;;;;
Else;;;;;;;;;;;;;39;;;;;;;;38;;;;;;;;;;;;;;
Condition;;;;;;40;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConditionNew;;;;;;;;;;;42;;;;;;;;;;;;;41;41;41;41;41;41;41;41;;;;
LogOp;;;;;;;;;;;;;;;;;;;;;;;;43;44;45;46;47;48;49;50;;;;
AddOp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;52;;
MulOp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;54
Expression;;;;;;55;55;55;;;;;;;;;;55;;;;;;;;;;;;;;;;;
ExpressionNew;;;;;;;;;57;57;57;57;;;;;;;;;;;;57;57;57;57;57;57;57;57;56;56;;
Term;;;;;;58;58;58;;;;;;;;;;58;;;;;;;;;;;;;;;;;
TermNew;;;;;;;;;60;60;60;60;;;;;;;;;;;;60;60;60;60;60;60;60;60;60;60;59;59
Factor;;;;;;61;62;63;;;;;;;;;;64;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;57 is a follow set for expression;;;;60 is follow set for a term;;;;;;;;;;;;;;;;;;;
